imdb_title_id	title	original_title	year	date_published	genre	duration	country	language	director	writer	production_company	actors	description	avg_vote	votes	reviews_from_users	reviews_from_critics
tt0017918	The Gaucho	The Gaucho	1927	1/23/1928	"Adventure, Romance"	115	USA	English	F. Richard Jones	Douglas Fairbanks	Elton Corporation	"Lupe Velez, Joan Barclay, Eve Southern, Gustav von Seyffertitz, Michael Vavitch, Charles Stevens, Nigel De Brulier, Albert MacQuarrie, Douglas Fairbanks"	"A girl is saved by a miracle after she falls from a cliff in the Argentine Andes, and is blessed with healing powers. A shrine is built on the site, and a whole city grows around it, rich ..."	6.9	284	12	10
tt0017925	Come vinsi la guerra	The General	1926	3/30/1927	"Action, Adventure, Comedy"	67	USA	English	"Clyde Bruckman, Buster Keaton"	"Buster Keaton, Clyde Bruckman"	Buster Keaton Productions	"Marion Mack, Glen Cavender, Jim Farley, Frederick Vroom, Charles Henry Smith, Frank Barnes, Joe Keaton, Mike Donlin, Tom Nawn, Buster Keaton"	"When Union spies steal an engineer's beloved locomotive, he pursues it single-handedly and straight through enemy lines."	8.1	78769	288	117
tt0017928	Get Your Man	Get Your Man	1927	12/7/1927	"Comedy, Romance"	63	USA	English	Dorothy Arzner	"Agnes Brand Leahy, Hope Loring"	Paramount Famous Lasky Corporation	"Clara Bow, Charles 'Buddy' Rogers, Josef Swickard, Josephine Dunn, Harvey Clark, Frances Raymond"	"A young American girl in Paris falls in love with a handsome nobleman, but he is about to wed in an arranged marriage. She hatches a plan to overcome that obstacle and get her man."	6.7	162	8	3
tt0017938	La glace à trois faces	La glace à trois faces	1983	3/13/1983	"Drama, Romance"	45	France	"None, French"	Jean Epstein	"Jean Epstein, Paul Morand"	Films Jean Epstein	"Jeanne Helbling, Suzy Pierson, Olga Day, Raymond Guérin-Catelain, Jean Garat, René Ferté"	"Psychological narrative avantgarde film about a wealthy young businessman who consecutively falls in love with a classy English woman (Pearl), a Russian sculptress (Athalia), and a naive ..."	7	759	7	4
tt0017961	La Felicità	Schaste	1935	3/15/1935	"Comedy, Drama"	95	Soviet Union		Aleksandr Medvedkin	Aleksandr Medvedkin	Vostokfilm	"Pyotr Zinovyev, Yelena Yegorova, Nikolay Cherkasov, Mikhail Gipsi, Viktor Kulakov, V. Lavrentyev, G. Mirgorian, Lyubov Nenasheva, V. Uspensky"	"A hapless man undergoes misadventures with avaricious clergy, a tired horse, and a walking granary on his road to collectivized happiness."	7.4	919	5	11
tt0017998	Hindle Wakes	Hindle Wakes	1927	9/12/1927	"Drama, Romance"	120	UK	English	Maurice Elvey	"Stanley Houghton, Victor Saville"	Gaumont British Picture Corporation	"Estelle Brody, John Stuart, Norman McKinnel, Marie Ault, Humberston Wright, Gladys Jennings, Irene Rooke, Peggy Carlisle, Arthur Chesney, John Rowal, Alf Goddard, Cyril McLaglen, Graham Soutten"	"A celebration of working class leisure activities at Hindle, Lancashire, during ""Wakes Week"", an annual week still observed in parts of Lancashire and Yorkshire when all factories and ..."	7.1	237	11	7
tt0018014	Hotel Imperial	Hotel Imperial	1927	1/1/1927	"Drama, War"	85	USA		Mauritz Stiller	"Lajos Biró, Jules Furthman"	Paramount Pictures	"Pola Negri, James Hall, George Siegmann, Max Davidson, Michael Vavitch, Otto Fries, Nicholas Soussanin, Golden Wadhams, George Berrell"	"During World War I, a hotel maid and Austrian officer in hiding attempt to survive in a Russian-occupied town."	6.6	210	9	7
tt0018016	Hula	Hula	1927	8/28/1927	"Drama, Romance"	64	USA	English	Victor Fleming	"Doris Anderson, Ethel Doherty"	Paramount Pictures	"Clara Bow, Clive Brook, Arlette Marchal, Arnold Kent, Miss DuPont, Albert Gran, Agostino Borgato"	The daughter of a pineapple plantation owner in Hawaii sets her sights on a married English engineer.	6.4	185	7	3
tt0018033	Cosetta	It	1927	2/15/1927	"Comedy, Romance"	72	USA		"Clarence G. Badger, Josef von Sternberg"	"Elinor Glyn, Hope Loring"	Paramount Pictures	"Clara Bow, Antonio Moreno, William Austin, Priscilla Bonner, Jacqueline Gadsdon, Julia Swayne Gordon, Elinor Glyn"	"A salesgirl with plenty of ""it"" (sex appeal) pursues a handsome playboy."	7.3	2912	65	24
tt0018037	Il cantante di jazz	The Jazz Singer	1927	2/4/1928	"Drama, Music, Musical"	88	USA	English	Alan Crosland	"Samson Raphaelson, Alfred A. Cohn"	Warner Bros.	"Al Jolson, May McAvoy, Warner Oland, Eugenie Besserer, Otto Lederer, Robert Gordon, Richard Tucker, Yossele Rosenblatt"	The son of a Jewish Cantor must defy the traditions of his religious father in order to pursue his dream of becoming a jazz singer.	6.5	8866	104	63
tt0018045	Le joueur d'échecs	Le joueur d'échecs	1927	7/20/1927	"Drama, Fantasy, War"	135	France	French	Raymond Bernard	"Raymond Bernard, Henry Dupuis-Mazuel"	Société des Films Historiques	"Pierre Blanchar, Charles Dullin, Édith Jéhanne, Camille Bert, Pierre Batcheff, Marcelle Charles Dullin, Jackie Monnier, Armand Bernard, Alexiane, Pierre Hot, Jaime Devesa, Fridette Fatton"	"In 1776, an inventor conceals a Polish nobleman in his chess-playing automaton, a machine whose fame leads it to the court of the Russian empress."	6.8	263	6	12
tt0018051	Il fratello minore	The Kid Brother	1927	1/17/1927	"Comedy, Drama, Family"	82	USA	English	"Ted Wilde, Harold Lloyd"	"John Grey, Ted Wilde"	The Harold Lloyd Corporation (II)	"Harold Lloyd, Jobyna Ralston, Walter James, Leo Willis, Olin Francis, Constantine Romanoff, Eddie Boland, Frank Lanning, Ralph Yearsley"	A sheriff's milquetoast son has a chance to prove himself when a medicine show run by con artists comes into town.	7.6	3747	30	25
tt0018054	Il re dei re	The King of Kings	1927	2004	"Biography, Drama, History"	160	USA	English	Cecil B. DeMille	Jeanie Macpherson	DeMille Pictures Corporation	"H.B. Warner, Dorothy Cumming, Ernest Torrence, Joseph Schildkraut, James Neill, Joseph Striker, Robert Edeson, Sidney D'Albrook, David Imboden, Charles Belcher, Clayton Packard, Robert Ellsworth, Charles Requa, John T. Prince, Jacqueline Logan"	Jesus Christ faces religious and political oppression during his ministry and in the days before his death and resurrection.	7.2	1890	48	24
tt0018066	La fine di San Pietroburgo	Konets Sankt-Peterburga	1927	4/29/1969	Drama	85	Soviet Union		"Vsevolod Pudovkin, Mikhail Doller"	Nathan Zarkhi	Mezhrabpom-Rus	"Aleksandr Chistyakov, Vera Baranovskaya, Ivan Chuvelyov, V. Obolensky, Sergey Komarov, Viktor Tsoppi, Aleksei Davor, Vladimir Fogel, Aleksandr Gromov, Nikolay Khmelyov, Vsevolod Pudovkin, Max Tereshkovich, M. Tsybulsky, Anna Zemtsova"	"A peasant comes to St. Petersburg to find work. He unwittingly helps in the arrest of an old friend who is now a labor leader. The unemployed man is arrested and sent to fight in World War I. After three years, he returns to rebel."	7.3	1494	17	13
tt0018087	Il Giglio nelle tenebre	Die Liebe der Jeanne Ney	1927	1/30/1928	"Drama, Romance"	104	Germany	German	Georg Wilhelm Pabst	"Ilja Ehrenburg, Rudolf Leonhardt"	Universum Film (UFA)	"Édith Jéhanne, Uno Henning, Fritz Rasp, Brigitte Helm, Adolf E. Licho, Eugen Jensen, Hans Jaray, Sig Arno, Hertha von Walther, Vladimir Sokoloff, Jack Trevor, Mammey Terja-Basa, Josefine Dora, Heinrich Gotho, Milly Mathis"	"In the Crimea, the Reds and the Whites aren't done fighting, and Jeanne discovers that the man she loves is a Bolshevik (when he kills her father). Penniless, she returns to Paris where she..."	7.3	660	10	11
tt0018097	Il fantasma del castello	London After Midnight	1927	12/11/1928	Horror	69	USA		Tod Browning	"Tod Browning, Waldemar Young"	Metro-Goldwyn-Mayer (MGM)	"Lon Chaney, Marceline Day, Henry B. Walthall, Percy Williams, Conrad Nagel, Polly Moran, Edna Tichenor, Claude King, Andy MacLennan"	The abandoned home of a wealthy man who supposedly committed suicide five years earlier is taken over by ghoulish figures - could they be vampires?	6.8	1161	23	21
tt0018102	Le sue ultime mutandine	Long Pants	1927	3/26/1927	Comedy	60	USA	English	Frank Capra	"Robert Eddy, Tay Garnett"	Harry Langdon Corporation	"Harry Langdon, Gladys Brockwell, Alan Roscoe, Priscilla Bonner, Alma Bennett, Betty Francisco, Glenn Tryon"	"Harry Shelby receives his first pair of long pants. He immediately falls in love with a cocaine-smuggling flapper named Bebe. When Bebe is imprisoned, Harry decides to rescue her. To do so,..."	6.3	431	14	14
tt0018107	Anna Karenina	Love	1927	1/2/1928	"Drama, Romance"	82	USA		"Edmund Goulding, John Gilbert"	"Leo Tolstoy, Marian Ainslee"	Metro-Goldwyn-Mayer (MGM)	"John Gilbert, Greta Garbo, George Fawcett, Emily Fitzroy, Brandon Hurst, Philippe De Lacy"	A married woman compromises her social standing and family life when she falls for a young officer.	6.9	885	18	10
tt0018113	The Love of Sunya	The Love of Sunya	1927	3/11/1927	Drama	78	USA		Albert Parker	"Max Marcin, Charles Guernon"	Gloria Swanson Pictures	"Gloria Swanson, John Boles, Pauline Garon, Ian Keith, Andrés de Segurola, Anders Randolf, Hugh Miller, Robert Schable, Ivan Lebedeff, John Miltern, Raymond Hackett, Florence Fair"	A young woman at life's crossroads is granted mystic visions of how her decisions will affect her future life.	6.1	764	6	4
tt0018138	"Man, Woman and Sin"	"Man, Woman and Sin"	1927	11/19/1927	Drama	70	USA	English	Monta Bell	"Alice D.G. Miller, Monta Bell"	Metro-Goldwyn-Mayer (MGM)	"John Gilbert, Jeanne Eagels, Gladys Brockwell, Marc McDermott, Philip W. Anderson, Hayden Stevenson, Charles K. French, Aileen Manning, Margaret Lee, Robert Livingston"	A young man takes a succession of odd jobs in order to save enough money to buy he and his mother a house. He lands a position in a newspaper office and falls in love with the beautiful ...	5.9	356	3	1
tt0018166	Mockery	Mockery	1927	8/13/1927	"Drama, Romance"	75	USA	English	Benjamin Christensen	"Benjamin Christensen, Stig Esbern"	Metro-Goldwyn-Mayer (MGM)	"Lon Chaney, Ricardo Cortez, Barbara Bedford, Mack Swain, Emily Fitzroy, Károly Huszár, Kai Schmidt"	"During the Russian Revolution, a mentally challenged peasant saves then obsesses over a beautiful countess."	6.7	390	17	4
tt0018179	Mr. Wu	Mr. Wu	1927	3/26/1927	"Drama, Romance"	91	USA	"English, Mandarin"	William Nigh	"Maurice Vernon, Harold Owen"	Metro-Goldwyn-Mayer (MGM)	"Lon Chaney, Louise Dresser, Renée Adorée, Holmes Herbert, Ralph Forbes, Gertrude Olmstead, Mrs. Wong Wing, Claude King, Sonny Loy, Anna May Wong"	"When Mandarin Wu's unmarried daughter becomes pregnant by a young Englishman, he seeks vengeance."	6.4	525	19	3
tt0018183	My Best Girl	My Best Girl	1927	10/31/1927	"Comedy, Romance"	80	USA	English	Sam Taylor	"Kathleen Norris, Allen McNeil"	Mary Pickford Company	"Mary Pickford, Charles 'Buddy' Rogers, Sunshine Hart, Lucien Littlefield, Carmelita Geraghty, Hobart Bosworth, Evelyn Hall, Avonne Taylor, Mack Swain, John Junior"	"A department store's stock girl falls in love with a co-worker, the son of the store's manager; the feeling is mutual though he is engaged to a debutante and focusing on becoming successful without the influence of his father."	7.4	787	22	12
tt0018192	Napoleone	Napoléon vu par Abel Gance	1927	4/7/1927	"Biography, Drama, History"	240	France		Abel Gance	Abel Gance	Ciné France	"Albert Dieudonné, Vladimir Roudenko, Edmond Van Daële, Alexandre Koubitzky, Antonin Artaud, Abel Gance, Gina Manès, Suzanne Bianchetti, Marguerite Gance, Yvette Dieudonné, Philippe Hériat, Pierre Batcheff, Eugénie Buffet, Acho Chakatouny, Nicolas Koline"	A film about the French general's youth and early military career.	8.1	6864	66	44
tt0018217	Ottobre!	Oktyabr	1927	9/24/1928	"Drama, History"	142	Soviet Union		"Grigoriy Aleksandrov, Sergei M. Eisenstein"	"Sergei M. Eisenstein, Grigoriy Aleksandrov"	Sovkino	"Nikolay Popov, Vasili Nikandrov, Layaschenko, Chibisov, Boris Livanov, Mikholyev, Nikolai Padvoisky, Smelsky, Eduard Tisse"	"A large-scale view on the events of 1917 in Russia, when the monarchy was overthrown."	7.5	6877	50	23
tt0018218	Il re del sottosuolo	Old San Francisco	1927	9/4/1927	"Drama, History, Romance"	88	USA	English	Alan Crosland	"Darryl F. Zanuck, Anthony Coldeway"	Warner Bros.	"Dolores Costello, Josef Swickard, Anders Randolf, Charles Emmett Mack, Warner Oland, Angelo Rossitto, Anna May Wong, Lawson Butt, Walter McGrail, Otto Matieson, Martha Mattox, Tom Santschi"	"In San Francisco, a villainous land owner with underworld connections seeks to steal the property of an old Spanish family."	6.4	316	17	6
tt0018235	Il mio cuore aveva ragione	Orchids and Ermine	1927	3/6/1927	"Comedy, Romance"	70	USA	English	Alfred Santell	"Carey Wilson, Carey Wilson"	John McCormick Productions	"Colleen Moore, Jack Mulhall, Sam Hardy, Gwen Lee, Alma Bennett, Hedda Hopper, Kate Price, Jed Prouty, Emily Fitzroy, Carolynne Snowden, Yola d'Avril, Brooks Benedict, Mickey Rooney, Bobby Doyle"	A telephone operator at an opulent hotel falls in love with a young man who turns out to be a rich oil millionaire.	6.8	119	7	
tt0018247	Passione di principe	Paid to Love	1927	7/23/1927	"Comedy, Romance"	76	USA		Howard Hawks	"Harry Carr, Benjamin Glazer"	Fox Film Corporation	"George O'Brien, Virginia Valli, J. Farrell MacDonald, William Powell, Thomas Jefferson, Hank Mann, Merta Sterling"	An American banker goes to a small Balkan country looking to invest his bank's money and shore up the country's weak economy in order to maximize the return on their investment. Towards ...	6.3	110	2	5
tt0018253	Ferro e fuoco	The Patent Leather Kid	1927	9/1/1927	"Drama, Romance, Sport"	150	USA	English	Alfred Santell	"Gerald C. Duffy, Winifred Dunn"	First National Pictures	"Richard Barthelmess, Molly O'Day, Lawford Davidson, Matthew Betz, Arthur Stone, Ray Turner, Hank Mann, Walter James, Lucien Prival, Nigel De Brulier, Fred O'Beck, Clifford Salam, Henry Murdock, Charles Sullivan, John Kolb"	A boxer has difficulty balancing his sport with a budding romance; both are further jeopardized when the United States enters the first World War.	5.8	468	4	2
tt0018268	Potseluy Meri Pikford	Potseluy Meri Pikford	1927	9/9/1927	Comedy	56	Soviet Union		Sergey Komarov	"Sergey Komarov, Vadim Shershenevich"	Mezhrabpom-Rus	"Igor Ilyinsky, Anel Sudakevich, Mary Pickford, M. Rosenstein, Douglas Fairbanks, Nadezhda Sizova, Yakov Lents, Aleksandr Glinsky, Vera Malinovskaya, Abram Room, Vasili Bokarev, Olga Bazanova, Vera Marinich, Nikolai Rogozhin"	Goga is a Russian man who has no luck with women. He has a chance meeting with Mary Pickford. She kisses him in full view of several and he instantly becomes attractive to them. They chase ...	6.3	103	5	1
